analyzer,asset,confidence,created_at,error,evidence,model_name,model_version,news_id,raw_response_sha256,relevance,score,sentiment,status
lexicon_baseline,BTC-USD,0.55,2026-09-21T19:41:59.106870+00:00,,"[""positive:rally"", ""asset:bitcoin""]",financial_bilingual_lexicon,financial-bilingual-1.0,74116f98ff57c0bdbf9b2aa78b5b0fe649729e0961f3bf4c6ce1260dc709fb22,,0.95,1.0,1,ok
lexicon_baseline,BTC-USD,0.35,2026-09-21T19:41:59.106870+00:00,,"[""asset:bitcoin""]",financial_bilingual_lexicon,financial-bilingual-1.0,798a8c99076594e2ef7f9fab4b1a2bb1895c36323b78f2a8be39702aa61ea780,,0.95,0.0,0,ok
lexicon_baseline,BTC-USD,0.35,2026-09-21T19:41:59.106870+00:00,,"[""asset:bitcoin""]",financial_bilingual_lexicon,financial-bilingual-1.0,9dc9ade2f6071352f8ffbb9854d30309d4a03d846604e67fe04ce19fb42d6a09,,0.8,0.0,0,ok
lexicon_baseline,BTC-USD,0.35,2026-09-21T19:41:59.106870+00:00,,"[""asset:bitcoin""]",financial_bilingual_lexicon,financial-bilingual-1.0,3fe23f7dc6ea7894a9a6f089870f5b15574fd04cb3abee19ef7a48122927a3bc,,0.95,0.0,0,ok
lexicon_baseline,BTC-USD,0.35,2026-09-21T19:41:59.106870+00:00,,"[""asset:bitcoin""]",financial_bilingual_lexicon,financial-bilingual-1.0,b043b2a274d69438ca870b88cb3d325a9379c37eb7761ce305c1ee2d782ab2b2,,0.8,0.0,0,ok
structured_llm,BTC-USD,,2026-09-21T19:41:59.106870+00:00,"RateLimitError: Error code: 429 - {'error': {'message': ""Request too large for model `qwen/qwen3.8-27b` in organization `org_01ksa6n5sbft7tmcf1ww7r78tj` service tier `on_demand` on output tokens per minute (OTPM): Limit 1000, Requested 2012. The request's expected output tokens exceed the enforced limit; reduce max_tokens (or the request's expected output) and try again. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing"", 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",[],qwen/qwen3.8-27b,qwen/qwen3.8-27b|sentiment-json-v1,74116f98ff57c0bdbf9b2aa78b5b0fe649729e0961f3bf4c6ce1260dc709fb22,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,,,error
structured_llm,BTC-USD,,2026-09-21T19:41:59.106870+00:00,"RateLimitError: Error code: 429 - {'error': {'message': ""Request too large for model `qwen/qwen3.8-27b` in organization `org_01ksa6n5sbft7tmcf1ww7r78tj` service tier `on_demand` on output tokens per minute (OTPM): Limit 1000, Requested 2012. The request's expected output tokens exceed the enforced limit; reduce max_tokens (or the request's expected output) and try again. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing"", 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",[],qwen/qwen3.8-27b,qwen/qwen3.8-27b|sentiment-json-v1,798a8c99076594e2ef7f9fab4b1a2bb1895c36323b78f2a8be39702aa61ea780,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,,,error
structured_llm,BTC-USD,,2026-09-21T19:41:59.106870+00:00,"RateLimitError: Error code: 429 - {'error': {'message': ""Request too large for model `qwen/qwen3.8-27b` in organization `org_01ksa6n5sbft7tmcf1ww7r78tj` service tier `on_demand` on output tokens per minute (OTPM): Limit 1000, Requested 2012. The request's expected output tokens exceed the enforced limit; reduce max_tokens (or the request's expected output) and try again. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing"", 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",[],qwen/qwen3.8-27b,qwen/qwen3.8-27b|sentiment-json-v1,9dc9ade2f6071352f8ffbb9854d30309d4a03d846604e67fe04ce19fb42d6a09,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,,,error
structured_llm,BTC-USD,,2026-09-21T19:41:59.106870+00:00,"RateLimitError: Error code: 429 - {'error': {'message': ""Request too large for model `qwen/qwen3.8-27b` in organization `org_01ksa6n5sbft7tmcf1ww7r78tj` service tier `on_demand` on output tokens per minute (OTPM): Limit 1000, Requested 2012. The request's expected output tokens exceed the enforced limit; reduce max_tokens (or the request's expected output) and try again. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing"", 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",[],qwen/qwen3.8-27b,qwen/qwen3.8-27b|sentiment-json-v1,3fe23f7dc6ea7894a9a6f089870f5b15574fd04cb3abee19ef7a48122927a3bc,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,,,error
structured_llm,BTC-USD,,2026-09-21T19:41:59.106870+00:00,"RateLimitError: Error code: 429 - {'error': {'message': ""Request too large for model `qwen/qwen3.8-27b` in organization `org_01ksa6n5sbft7tmcf1ww7r78tj` service tier `on_demand` on output tokens per minute (OTPM): Limit 1000, Requested 2012. The request's expected output tokens exceed the enforced limit; reduce max_tokens (or the request's expected output) and try again. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing"", 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",[],qwen/qwen3.8-27b,qwen/qwen3.8-27b|sentiment-json-v1,b043b2a274d69438ca870b88cb3d325a9379c37eb7761ce305c1ee2d782ab2b2,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,,,error
